"Timestamp","Age","Country","self_employed","family_history","treatment","remote_work","tech_company","benefits","care_options","wellness_program","seek_help","anonymity","leave","mental_health_interview","GroupedGender"
2014-08-28 13:39:00,23,"United States","No","Yes","Yes","No","Yes","Other","Yes","No","Other","Not sure","Very easy","Maybe","Male"
2014-08-28 16:58:00,23,"United States","No","Yes","No","Yes","Yes","Yes","Yes","No","Not sure","Yes","Don't know","No","Male"
2014-08-28 17:07:00,23,"United States","No","No","No","No","No","Not sure","No","Don't know","Not sure","Not sure","Don't know","Maybe","Male"
2014-08-28 17:20:00,23,"United Kingdom","No","Yes","No","No","No","Other","No","No","Yes","Not sure","Somewhat easy","No","Female"
2014-08-29 09:10:00,23,"United States","No","Yes","No","No","Yes","Yes","Not sure","Yes","Yes","Yes","Somewhat easy","No","Male"
2014-08-29 09:54:00,23,"Israel","No","No","No","No","Yes","Not sure","Not sure","No","Other","Yes","Very easy","Maybe","Male"
2014-08-29 11:33:00,23,"United States","No","Yes","No","No","No","Other","No","No","Other","Not sure","Somewhat difficult","No","Female"
2014-09-01 08:19:00,23,"Germany","No","Yes","Yes","No","Yes","Not sure","Not sure","No","Other","Not sure","Somewhat easy","No","Male"
2014-09-01 12:00:00,23,"Israel","No","No","No","No","No","Other","Yes","Yes","Yes","Yes","Somewhat difficult","No","Male"
2014-09-13 07:52:00,23,"United Kingdom","No","No","Yes","No","Yes","Other","No","No","Other","Not sure","Very difficult","Yes","Male"
2014-08-27 11:42:00,24,"United Kingdom","No","No","Yes","No","Yes","Other","No","No","Other","Not sure","Don't know","No","Male"
2014-08-27 11:47:00,24,"US","No","Yes","Yes","Yes","Yes","Not sure","No","No","Other","Not sure","Don't know","Yes","Male"
2014-08-27 12:16:00,24,"United States","No","Yes","No","No","Yes","Not sure","Not sure","No","Not sure","Not sure","Somewhat easy","No","Male"
2014-08-27 12:36:00,24,"Canada","No","No","Yes","No","Yes","Not sure","No","No","Other","Not sure","Don't know","Maybe","Male"
2014-08-27 12:39:00,24,"United Kingdom","No","No","No","No","Yes","Other","No","No","Other","Yes","Don't know","No","Male"
2014-08-27 12:48:00,24,"United Kingdom","No","No","No","No","Yes","Not sure","Not sure","Yes","Not sure","Not sure","Very easy","No","Male"
2014-08-27 12:52:00,24,"United Kingdom","No","No","No","No","Yes","Not sure","No","No","Not sure","Not sure","Somewhat easy","Maybe","Male"
2014-08-27 13:04:00,24,"United States","No","No","No","No","Yes","Not sure","Not sure","No","Not sure","Not sure","Don't know","No","Male"
2014-08-27 13:18:00,24,"United States","No","No","No","No","Yes","Not sure","No","Don't know","Other","Yes","Very easy","Maybe","Male"
2014-08-27 13:21:00,24,"United States","No","No","No","No","Yes","Yes","Not sure","No","Not sure","Not sure","Very easy","Maybe","Male"
2014-08-27 13:44:00,24,"United States","No","No","No","No","Yes","Not sure","No","Don't know","Not sure","Not sure","Don't know","Maybe","Male"
2014-08-27 13:48:00,24,"United Kingdom","No","No","No","No","Yes","Other","No","No","Other","Not sure","Don't know","No","Male"
2014-08-27 14:16:00,24,"United States","No","No","No","No","Yes","Other","Not sure","No","Not sure","Not sure","Don't know","No","Female"
2014-08-27 14:28:00,24,"United States","No","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Don't know","No","Female"
2014-08-27 14:32:00,24,"United States","No","No","No","No","Yes","Yes","Not sure","Yes","Yes","Yes","Very easy","No","Male"
2014-08-27 14:38:00,24,"United States","No","No","No","No","Yes","Yes","Yes","Don't know","Not sure","Yes","Don't know","No","Male"
2014-08-27 15:24:00,24,"United States","No","Yes","No","No","No","Other","No","No","Other","Other","Very difficult","No","Female"
2014-08-27 15:35:00,24,"United States","No","Yes","Yes","No","Yes","Other","Yes","No","Other","Not sure","Somewhat difficult","No","Male"
2014-08-27 15:36:00,24,"United States","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Somewhat easy","Yes","Female"
2014-08-27 15:38:00,24,"United States","No","Yes","Yes","No","Yes","Other","No","No","Other","Not sure","Very easy","No","Female"
2014-08-27 15:50:00,24,"United States","No","No","Yes","No","Yes","Yes","Yes","Yes","Other","Not sure","Don't know","No","Male"
2014-08-27 16:25:00,24,"United States","Yes","Yes","Yes","Yes","Yes","Other","No","Don't know","Not sure","Not sure","Don't know","No","Female"
2014-08-27 17:33:00,24,"Austria","Yes","No","No","No","Yes","Yes","Yes","Don't know","Not sure","Yes","Somewhat easy","Maybe","Male"
2014-08-27 19:16:00,24,"United States","No","No","No","No","Yes","Other","Not sure","Don't know","Not sure","Not sure","Don't know","No","Male"
2014-08-27 22:14:00,24,"United States","No","Yes","Yes","No","Yes","Yes","Not sure","No","Other","Not sure","Somewhat difficult","No","Female"
2014-08-27 23:10:00,24,"United States","No","No","No","No","No","Not sure","Not sure","No","Other","Not sure","Don't know","No","Male"
2014-08-28 01:14:00,24,"Germany","No","Yes","No","No","Yes","Not sure","No","No","Other","Not sure","Somewhat easy","No","Male"
2014-08-28 02:32:00,24,"United Kingdom","No","No","Yes","No","Yes","Other","No","No","Other","Not sure","Don't know","No","Female"
2014-08-28 06:27:00,24,"Ireland","No","No","No","No","Yes","Not sure","Not sure","Don't know","Not sure","Not sure","Don't know","No","Male"
2014-08-28 10:30:00,24,"France","No","No","No","No","Yes","Other","No","Yes","Other","Not sure","Don't know","No","Male"
2014-08-28 16:17:00,24,"United States","No","Yes","Yes","No","Yes","Yes","Yes","No","Other","Yes","Very easy","No","Female"
2014-08-28 17:02:00,24,"United States","No","No","No","No","Yes","Not sure","Not sure","Don't know","Other","Yes","Somewhat easy","No","Male"
2014-08-28 17:50:00,24,"United States","No","No","No","Yes","Yes","Not sure","No","No","Not sure","Not sure","Somewhat easy","No","Male"
2014-08-28 17:59:00,24,"United Kingdom","Yes","No","No","Yes","Yes","Other","Yes","No","Other","Yes","Very easy","No","Male"
2014-08-28 18:21:00,24,"United Kingdom","No","Yes","Yes","Yes","Yes","Other","No","No","Other","Not sure","Very easy","No","Female"
2014-08-29 01:14:00,24,"United Kingdom","No","Yes","Yes","No","No","Not sure","Yes","No","Other","Other","Somewhat easy","No","Male"
2014-08-29 05:39:00,24,"United Kingdom","Yes","Yes","No","Yes","Yes","Not sure","Not sure","No","Other","Not sure","Don't know","No","Male"
2014-08-29 09:51:00,24,"United States","No","Yes","No","No","No","Yes","Yes","No","Not sure","Not sure","Somewhat difficult","No","Female"
2014-08-29 12:15:00,24,"Germany","No","Yes","Yes","No","Yes","Other","No","No","Other","Not sure","Somewhat easy","No","Male"
2014-08-29 19:32:00,24,"United States","No","Yes","Yes","Yes","Yes","Not sure","No","No","Other","Not sure","Very easy","Maybe","Male"
2014-08-30 13:55:00,24,"Canada","No","No","No","No","Yes","Yes","Yes","No","Other","Yes","Don't know","No","Male"
2014-08-27 11:57:00,25,"United States","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Not sure","Don't know","Maybe","Male"
2014-08-27 12:15:00,25,"Canada","No","No","Yes","No","Yes","Yes","Yes","No","Not sure","Not sure","Don't know","No","Female"
2014-08-27 12:19:00,25,"United States","No","Yes","No","No","Yes","Not sure","No","Don't know","Not sure","Not sure","Very easy","No","Male"
2014-08-27 12:33:00,25,"United States","No","No","No","Yes","Yes","Not sure","No","No","Other","Not sure","Very easy","No","Male"
2014-08-27 12:42:00,25,"United States","No","Yes","Yes","No","No","Not sure","No","No","Not sure","Not sure","Somewhat difficult","No","Male"
2014-08-27 12:43:00,25,"United States","No","Yes","Yes","No","Yes","Not sure","Not sure","No","Other","Not sure","Very easy","No","Male"
2014-08-27 12:44:00,25,"United States","No","Yes","Yes","No","Yes","Yes","No","No","Other","Not sure","Don't know","No","Female"
2014-08-27 13:26:00,25,"United Kingdom","No","No","No","No","Yes","Other","No","No","Other","Not sure","Somewhat difficult","No","Male"
2014-08-27 13:33:00,25,"South Africa","No","No","No","No","Yes","Other","No","No","Other","Yes","Somewhat difficult","No","Male"
2014-08-27 13:49:00,25,"Australia","No","Yes","Yes","No","Yes","Other","Yes","No","Other","Other","Very difficult","No","Male"
2014-08-27 14:10:00,25,"Canada","No","No","No","No","No","Not sure","Not sure","No","Other","Not sure","Don't know","No","Male"
2014-08-27 14:22:00,25,"United States","No","No","No","Yes","Yes","Not sure","Not sure","No","Not sure","Not sure","Don't know","No","Male"
2014-08-27 14:23:00,25,"Canada","No","No","Yes","Yes","No","Not sure","No","No","Not sure","Not sure","Somewhat difficult","No","Male"
2014-08-27 14:27:00,25,"United States","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Very easy","Maybe","Male"
2014-08-27 14:29:00,25,"United States","No","No","Yes","No","Yes","Yes","No","Don't know","Other","Not sure","Don't know","No","Male"
2014-08-27 14:30:00,25,"United States","No","No","No","No","Yes","Not sure","Not sure","Don't know","Not sure","Not sure","Don't know","No","Male"
2014-08-27 14:31:00,25,"United States","No","Yes","Yes","No","Yes","Not sure","Not sure","Don't know","Yes","Not sure","Don't know","No","Male"
2014-08-27 14:33:00,25,"Canada","No","Yes","Yes","No","Yes","Yes","Yes","No","Not sure","Not sure","Don't know","No","Male"
2014-08-27 14:44:00,25,"United States","No","Yes","Yes","No","Yes","Yes","Yes","No","Other","Yes","Don't know","No","Female"
2014-08-27 14:47:00,25,"United States","No","Yes","Yes","No","Yes","Yes","Yes","Don't know","Not sure","Not sure","Don't know","No","Other"
2014-08-27 14:52:00,25,"Sweden","No","Yes","No","No","Yes","Yes","Yes","Yes","Other","Not sure","Somewhat easy","No","Female"
2014-08-27 15:22:00,25,"United States","No","Yes","Yes","Yes","Yes","Not sure","No","No","Other","Not sure","Don't know","No","Female"
2014-08-27 15:23:00,25,"Germany","No","Yes","Yes","Yes","Yes","Other","No","No","Other","Yes","Somewhat easy","No","Male"
2014-08-27 15:24:00,25,"United States","No","No","Yes","No","Yes","Not sure","Not sure","No","Other","Not sure","Somewhat difficult","No","Female"
2014-08-27 16:26:00,25,"United States","No","No","No","No","Yes","Not sure","Not sure","Don't know","Not sure","Not sure","Don't know","No","Male"
2014-08-27 16:28:00,25,"United States","Yes","Yes","Yes","Yes","Yes","Not sure","Not sure","No","Other","Yes","Somewhat difficult","No","Female"
2014-08-27 16:34:00,25,"Germany","No","No","No","No","No","Not sure","Not sure","Don't know","Yes","Not sure","Don't know","No","Male"
2014-08-27 16:47:00,25,"United States","No","No","No","No","Yes","Other","No","No","Other","Other","Somewhat easy","No","Female"
2014-08-27 17:19:00,25,"Bosnia and Herzegovina","No","Yes","No","Yes","Yes","Not sure","Not sure","Don't know","Not sure","Not sure","Don't know","No","Male"
2014-08-27 18:39:00,25,"United States","No","Yes","No","No","No","Not sure","Not sure","No","Other","Not sure","Don't know","No","Female"
2014-08-28 03:49:00,25,"Ireland","No","Yes","Yes","No","Yes","Other","No","No","Other","Not sure","Don't know","No","Male"
2014-08-28 04:24:00,25,"Nigeria","No","No","No","No","Yes","Other","No","No","Other","Not sure","Don't know","No","Male"
2014-08-28 10:08:00,25,"Germany","No","No","No","No","Yes","Yes","Yes","Don't know","Yes","Yes","Somewhat easy","Yes","Male"
2014-08-28 10:17:00,25,"United States","No","Yes","Yes","Yes","Yes","Not sure","No","Yes","Not sure","Not sure","Don't know","No","Male"
2014-08-28 12:23:00,25,"United States","No","No","No","No","Yes","Not sure","No","No","Other","Not sure","Don't know","No","Male"
2014-08-28 12:30:00,25,"United States","No","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Don't know","No","Male"
2014-08-28 12:42:00,25,"United States","No","Yes","Yes","No","Yes","Yes","Yes","Don't know","Not sure","Yes","Don't know","No","Male"
2014-08-28 17:01:00,25,"United States","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Very easy","Maybe","Male"
2014-08-28 17:56:00,25,"United States","No","Yes","Yes","No","No","Other","No","No","Other","Not sure","Don't know","No","Male"
2014-08-28 17:57:00,25,"United States","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Very easy","No","Female"
2014-08-28 18:02:00,25,"United States","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Other","Not sure","Don't know","No","Female"
2014-08-28 18:50:00,2,"Canada","No","Yes","Yes","No","Yes","Yes","Yes","No","Other","Yes","Somewhat easy","No","Female"
2014-08-28 21:33:00,25,"United States","No","No","No","Yes","Yes","Yes","No","No","Other","Yes","Don't know","Maybe","Male"
2014-08-29 05:15:00,25,"Germany","Yes","No","No","Yes","Yes","Other","Yes","No","Other","Yes","Somewhat easy","Yes","Male"
2014-08-29 06:06:00,25,"United Kingdom","No","No","No","Yes","Yes","Not sure","Not sure","Don't know","Not sure","Not sure","Very easy","No","Male"
2014-08-29 09:29:00,25,"United States","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Not sure","Yes","Somewhat easy","Maybe","Male"
2014-08-29 10:03:00,25,"United States","No","No","No","Yes","Yes","Not sure","No","No","Other","Not sure","Somewhat easy","No","Male"
2014-08-29 10:27:00,25,"United States","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Not sure","Don't know","Maybe","Female"
2014-08-29 12:08:00,25,"United States","No","No","Yes","Yes","Yes","Not sure","No","No","Other","Not sure","Somewhat easy","No","Male"
2014-08-29 12:20:00,25,"South Africa","No","Yes","Yes","No","No","Not sure","No","No","Other","Yes","Don't know","No","Male"
2014-08-29 13:58:00,25,"United States","No","No","No","No","No","Not sure","No","No","Other","Not sure","Don't know","No","Male"
2014-08-29 15:59:00,25,"United States","No","Yes","Yes","No","Yes","Other","Yes","No","Other","Yes","Very easy","No","Male"
2014-08-29 17:54:00,25,"United States","No","No","Yes","No","Yes","Yes","Yes","Yes","Not sure","Yes","Don't know","No","Male"
2014-08-30 00:09:00,25,"United States","No","No","Yes","Yes","Yes","Other","Yes","No","Not sure","Not sure","Somewhat easy","No","Male"
2014-08-30 13:23:00,25,"United States","No","Yes","Yes","Yes","Yes","Not sure","No","Don't know","Not sure","Not sure","Very easy","Maybe","Male"
2014-09-01 06:52:00,25,"United Kingdom","No","Yes","Yes","Yes","Yes","Other","No","No","Other","Yes","Very easy","No","Male"
2014-09-26 10:05:00,25,"Bulgaria","No","No","Yes","Yes","Yes","Other","No","No","Other","Not sure","Don't know","Maybe","Female"
2014-08-27 11:47:00,26,"United States","No","No","No","No","No","Other","No","No","Other","Yes","Somewhat easy","Maybe","Male"
2014-08-27 11:49:00,26,"Poland","No","No","Yes","Yes","Yes","Not sure","Not sure","Yes","Yes","Yes","Very easy","Maybe","Female"
2014-08-27 11:50:00,26,"France","No","No","No","No","Yes","Other","No","No","Other","Not sure","Very easy","No","Male"
2014-08-27 14:20:00,26,"United States","No","No","No","No","Yes","Yes","Not sure","No","Not sure","Not sure","Don't know","No","Male"
2014-08-27 14:22:00,26,"Canada","No","Yes","Yes","No","Yes","Yes","No","No","Not sure","Not sure","Don't know","Maybe","Male"
2014-08-27 14:22:00,26,"United States","No","No","No","No","Yes","Other","No","No","Other","Not sure","Don't know","No","Male"
2014-08-27 14:25:00,26,"United States","No","Yes","Yes","No","Yes","Yes","Not sure","No","Not sure","Not sure","Don't know","No","Male"
2014-08-27 14:52:00,26,"United States","No","Yes","Yes","No","Yes","Yes","Not sure","Don't know","Yes","Not sure","Don't know","No","Male"
2014-08-27 15:04:00,26,"United States","Yes","Yes","Yes","Yes","No","Other","No","No","Not sure","Other","Don't know","No","Male"
2014-08-27 15:23:00,26,"United States","No","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Don't know","No","Female"
